tournament,year,team,matches_played,wins,goals_for,goals_conceded,stage
uefa euro,2004,Croatia,3,0,4,6,Round of 16
uefa euro,2004,Germany,3,0,2,3,Round of 16
uefa euro,2004,Italy,3,1,3,2,Round of 16
uefa euro,2004,Latvia,3,0,1,5,Round of 16
uefa euro,2004,Russia,3,1,2,4,Round of 16
uefa euro,2004,Spain,3,1,2,2,Round of 16
uefa euro,2004,Switzerland,3,0,1,6,Round of 16
gold cup,2005,United States,6,4,11,3,Champion
gold cup,2005,Panama,6,2,7,6,Runner-up
gold cup,2005,Colombia,5,2,7,7,Semi-Finalist
gold cup,2005,Honduras,5,3,8,6,Semi-Finalist
gold cup,2005,Costa Rica,4,2,6,4,Quarter-Finalist
gold cup,2005,Jamaica,4,1,8,10,Quarter-Finalist
gold cup,2005,Mexico,4,2,7,4,Quarter-Finalist
gold cup,2005,South Africa,4,1,7,6,Quarter-Finalist
gold cup,2005,Canada,3,1,2,4,Round of 16
gold cup,2005,Cuba,3,0,3,9,Round of 16
gold cup,2005,Guatemala,3,0,4,9,Round of 16
gold cup,2005,Trinidad and Tobago,3,0,3,5,Round of 16
african cup of nations,2006,Egypt,6,4,12,3,Champion
african cup of nations,2006,Ivory Coast,6,3,6,5,Runner-up
african cup of nations,2006,Nigeria,6,4,7,3,Semi-Finalist
african cup of nations,2006,Senegal,6,2,7,8,Semi-Finalist
african cup of nations,2006,Cameroon,4,3,8,2,Quarter-Finalist
african cup of nations,2006,DR Congo,4,1,3,6,Quarter-Finalist
african cup of nations,2006,Guinea,4,3,9,4,Quarter-Finalist
african cup of nations,2006,Tunisia,4,2,7,5,Quarter-Finalist
african cup of nations,2006,Angola,3,1,4,5,Round of 16
african cup of nations,2006,Ghana,3,1,2,3,Round of 16
african cup of nations,2006,Libya,3,0,1,5,Round of 16
african cup of nations,2006,Morocco,3,0,0,1,Round of 16
african cup of nations,2006,South Africa,3,0,0,5,Round of 16
african cup of nations,2006,Togo,3,0,2,7,Round of 16
african cup of nations,2006,Zambia,3,1,3,6,Round of 16
african cup of nations,2006,Zimbabwe,3,1,2,5,Round of 16
fifa world cup,2006,Italy,7,5,12,2,Champion
fifa world cup,2006,France,7,4,9,3,Runner-up
fifa world cup,2006,Germany,7,5,14,6,Semi-Finalist
fifa world cup,2006,Portugal,7,4,7,5,Semi-Finalist
fifa world cup,2006,Argentina,5,3,11,3,Quarter-Finalist
fifa world cup,2006,Brazil,5,4,10,2,Quarter-Finalist
fifa world cup,2006,England,5,3,6,2,Quarter-Finalist
fifa world cup,2006,Ukraine,5,2,5,7,Quarter-Finalist
fifa world cup,2006,Australia,4,1,5,6,Round of 16
fifa world cup,2006,Ecuador,4,2,5,4,Round of 16
fifa world cup,2006,Ghana,4,2,4,6,Round of 16
fifa world cup,2006,Mexico,4,1,5,5,Round of 16
fifa world cup,2006,Netherlands,4,2,3,2,Round of 16
fifa world cup,2006,Spain,4,3,9,4,Round of 16
fifa world cup,2006,Sweden,4,1,3,4,Round of 16
fifa world cup,2006,Switzerland,4,2,4,0,Round of 16
fifa world cup,2006,Angola,3,0,1,2,Group Stage
fifa world cup,2006,Costa Rica,3,0,3,9,Group Stage
fifa world cup,2006,Croatia,3,0,2,3,Group Stage
fifa world cup,2006,Czech Republic,3,1,3,4,Group Stage
fifa world cup,2006,Iran,3,0,2,6,Group Stage
fifa world cup,2006,Ivory Coast,3,1,5,6,Group Stage
fifa world cup,2006,Japan,3,0,2,7,Group Stage
fifa world cup,2006,Paraguay,3,1,2,2,Group Stage
fifa world cup,2006,Poland,3,1,2,4,Group Stage
fifa world cup,2006,Saudi Arabia,3,0,2,7,Group Stage
fifa world cup,2006,Serbia,3,0,2,10,Group Stage
fifa world cup,2006,South Korea,3,1,3,4,Group Stage
fifa world cup,2006,Togo,3,0,1,6,Group Stage
fifa world cup,2006,Trinidad and Tobago,3,0,0,4,Group Stage
fifa world cup,2006,Tunisia,3,0,3,6,Group Stage
fifa world cup,2006,United States,3,0,2,6,Group Stage
afc asian cup,2007,Iraq,6,3,7,2,Champion
afc asian cup,2007,Saudi Arabia,6,4,12,6,Runner-up
afc asian cup,2007,Japan,6,2,11,7,Semi-Finalist
afc asian cup,2007,South Korea,6,1,3,3,Semi-Finalist
afc asian cup,2007,Australia,4,1,7,5,Quarter-Finalist
afc asian cup,2007,Iran,4,2,6,3,Quarter-Finalist
afc asian cup,2007,Uzbekistan,4,2,10,4,Quarter-Finalist
afc asian cup,2007,Vietnam,4,1,4,7,Quarter-Finalist
afc asian cup,2007,Bahrain,3,1,3,7,Round of 16
afc asian cup,2007,China PR,3,1,7,6,Round of 16
afc asian cup,2007,Indonesia,3,1,3,4,Round of 16
afc asian cup,2007,Malaysia,3,0,1,12,Round of 16
afc asian cup,2007,Oman,3,0,1,3,Round of 16
afc asian cup,2007,Qatar,3,0,3,4,Round of 16
afc asian cup,2007,Thailand,3,1,3,5,Round of 16
afc asian cup,2007,United Arab Emirates,3,1,3,6,Round of 16
copa américa,2007,Brazil,6,4,15,5,Champion
copa américa,2007,Argentina,6,5,16,6,Runner-up
copa américa,2007,Mexico,6,4,13,5,Semi-Finalist
copa américa,2007,Uruguay,6,2,8,9,Semi-Finalist
copa américa,2007,Chile,4,1,4,11,Quarter-Finalist
copa américa,2007,Paraguay,4,2,8,8,Quarter-Finalist
copa américa,2007,Peru,4,1,5,8,Quarter-Finalist
copa américa,2007,Venezuela,4,1,5,6,Quarter-Finalist
copa américa,2007,Bolivia,3,0,4,5,Round of 16
copa américa,2007,Colombia,3,1,3,9,Round of 16
copa américa,2007,Ecuador,3,0,3,6,Round of 16
copa américa,2007,United States,3,0,2,8,Round of 16
gold cup,2007,United States,6,6,13,3,Champion
gold cup,2007,Mexico,6,4,7,5,Runner-up
gold cup,2007,Canada,5,3,9,5,Semi-Finalist
