tournament,year,team,group
african cup of nations,2013,Tunisia,D
gold cup,2013,Canada,A
gold cup,2013,Martinique,A
gold cup,2013,Mexico,A
gold cup,2013,Panama,A
gold cup,2013,El Salvador,B
gold cup,2013,Haiti,B
gold cup,2013,Honduras,B
gold cup,2013,Trinidad and Tobago,B
gold cup,2013,Belize,C
gold cup,2013,Costa Rica,C
gold cup,2013,Cuba,C
gold cup,2013,United States,C
fifa world cup,2014,Brazil,A
fifa world cup,2014,Cameroon,A
fifa world cup,2014,Croatia,A
fifa world cup,2014,Mexico,A
fifa world cup,2014,Australia,B
fifa world cup,2014,Chile,B
fifa world cup,2014,Netherlands,B
fifa world cup,2014,Spain,B
fifa world cup,2014,Colombia,C
fifa world cup,2014,Greece,C
fifa world cup,2014,Ivory Coast,C
fifa world cup,2014,Japan,C
fifa world cup,2014,Costa Rica,D
fifa world cup,2014,England,D
fifa world cup,2014,Italy,D
fifa world cup,2014,Uruguay,D
fifa world cup,2014,Argentina,E
fifa world cup,2014,Bosnia and Herzegovina,E
fifa world cup,2014,Iran,E
fifa world cup,2014,Nigeria,E
fifa world cup,2014,Ecuador,F
fifa world cup,2014,France,F
fifa world cup,2014,Honduras,F
fifa world cup,2014,Switzerland,F
fifa world cup,2014,Germany,G
fifa world cup,2014,Ghana,G
fifa world cup,2014,Portugal,G
fifa world cup,2014,United States,G
fifa world cup,2014,Algeria,H
fifa world cup,2014,Belgium,H
fifa world cup,2014,Russia,H
fifa world cup,2014,South Korea,H
afc asian cup,2015,Australia,A
afc asian cup,2015,Kuwait,A
afc asian cup,2015,Oman,A
afc asian cup,2015,South Korea,A
afc asian cup,2015,China PR,B
afc asian cup,2015,North Korea,B
afc asian cup,2015,Saudi Arabia,B
afc asian cup,2015,Uzbekistan,B
afc asian cup,2015,Bahrain,C
afc asian cup,2015,Iran,C
afc asian cup,2015,Qatar,C
afc asian cup,2015,United Arab Emirates,C
afc asian cup,2015,Iraq,D
afc asian cup,2015,Japan,D
afc asian cup,2015,Jordan,D
afc asian cup,2015,Palestine,D
african cup of nations,2015,Burkina Faso,A
african cup of nations,2015,Congo,A
african cup of nations,2015,Equatorial Guinea,A
african cup of nations,2015,Gabon,A
african cup of nations,2015,Cape Verde,B
african cup of nations,2015,DR Congo,B
african cup of nations,2015,Tunisia,B
african cup of nations,2015,Zambia,B
african cup of nations,2015,Algeria,C
african cup of nations,2015,Ghana,C
african cup of nations,2015,Senegal,C
african cup of nations,2015,South Africa,C
african cup of nations,2015,Cameroon,D
african cup of nations,2015,Guinea,D
african cup of nations,2015,Ivory Coast,D
african cup of nations,2015,Mali,D
copa américa,2015,Bolivia,A
copa américa,2015,Chile,A
copa américa,2015,Ecuador,A
copa américa,2015,Mexico,A
copa américa,2015,Argentina,B
copa américa,2015,Jamaica,B
copa américa,2015,Paraguay,B
copa américa,2015,Uruguay,B
copa américa,2015,Brazil,C
copa américa,2015,Colombia,C
copa américa,2015,Peru,C
copa américa,2015,Venezuela,C
gold cup,2015,Haiti,A
gold cup,2015,Honduras,A
gold cup,2015,Panama,A
gold cup,2015,United States,A
gold cup,2015,Canada,B
gold cup,2015,Costa Rica,B
gold cup,2015,El Salvador,B
gold cup,2015,Jamaica,B
gold cup,2015,Cuba,C
gold cup,2015,Guatemala,C
gold cup,2015,Mexico,C
gold cup,2015,Trinidad and Tobago,C
copa américa,2016,Colombia,A
copa américa,2016,Costa Rica,A
copa américa,2016,Paraguay,A
copa américa,2016,United States,A
copa américa,2016,Brazil,B
copa américa,2016,Ecuador,B
copa américa,2016,Haiti,B
copa américa,2016,Peru,B
copa américa,2016,Jamaica,C
copa américa,2016,Mexico,C
copa américa,2016,Uruguay,C
copa américa,2016,Venezuela,C
copa américa,2016,Argentina,D
copa américa,2016,Bolivia,D
copa américa,2016,Chile,D
copa américa,2016,Panama,D
uefa euro,2016,Albania,A
uefa euro,2016,France,A
uefa euro,2016,Romania,A
uefa euro,2016,Switzerland,A
uefa euro,2016,England,B
uefa euro,2016,Russia,B
uefa euro,2016,Slovakia,B
uefa euro,2016,Wales,B
uefa euro,2016,Germany,C
uefa euro,2016,Northern Ireland,C
uefa euro,2016,Poland,C
uefa euro,2016,Ukraine,C
uefa euro,2016,Croatia,D
uefa euro,2016,Czech Republic,D
uefa euro,2016,Spain,D
uefa euro,2016,Turkey,D
uefa euro,2016,Belgium,E
uefa euro,2016,Italy,E
uefa euro,2016,Republic of Ireland,E
uefa euro,2016,Sweden,E
uefa euro,2016,Austria,F
uefa euro,2016,Hungary,F
uefa euro,2016,Iceland,F
uefa euro,2016,Portugal,F
african cup of nations,2017,Burkina Faso,A
african cup of nations,2017,Cameroon,A
african cup of nations,2017,Gabon,A
african cup of nations,2017,Guinea-Bissau,A
african cup of nations,2017,Algeria,B
african cup of nations,2017,Senegal,B
african cup of nations,2017,Tunisia,B
african cup of nations,2017,Zimbabwe,B
african cup of nations,2017,DR Congo,C
african cup of nations,2017,Ivory Coast,C
african cup of nations,2017,Morocco,C
african cup of nations,2017,Togo,C
african cup of nations,2017,Egypt,D
african cup of nations,2017,Ghana,D
african cup of nations,2017,Mali,D
african cup of nations,2017,Uganda,D
gold cup,2017,Canada,A
gold cup,2017,Costa Rica,A
gold cup,2017,French Guiana,A
gold cup,2017,Honduras,A
gold cup,2017,Martinique,B
gold cup,2017,Nicaragua,B
gold cup,2017,Panama,B
gold cup,2017,United States,B
gold cup,2017,Curaçao,C
gold cup,2017,El Salvador,C
gold cup,2017,Jamaica,C
gold cup,2017,Mexico,C
fifa world cup,2018,Egypt,A
fifa world cup,2018,Russia,A
fifa world cup,2018,Saudi Arabia,A
fifa world cup,2018,Uruguay,A
fifa world cup,2018,Iran,B
fifa world cup,2018,Morocco,B
fifa world cup,2018,Portugal,B
fifa world cup,2018,Spain,B
fifa world cup,2018,Australia,C
fifa world cup,2018,Denmark,C
fifa world cup,2018,France,C
fifa world cup,2018,Peru,C
fifa world cup,2018,Argentina,D
fifa world cup,2018,Croatia,D
fifa world cup,2018,Iceland,D
fifa world cup,2018,Nigeria,D
fifa world cup,2018,Brazil,E
fifa world cup,2018,Costa Rica,E
fifa world cup,2018,Serbia,E
fifa world cup,2018,Switzerland,E
fifa world cup,2018,Germany,F
fifa world cup,2018,Mexico,F
fifa world cup,2018,South Korea,F
fifa world cup,2018,Sweden,F
fifa world cup,2018,Belgium,G
fifa world cup,2018,England,G
fifa world cup,2018,Panama,G
fifa world cup,2018,Tunisia,G
fifa world cup,2018,Colombia,H
fifa world cup,2018,Japan,H
fifa world cup,2018,Poland,H
fifa world cup,2018,Senegal,H
afc asian cup,2019,Bahrain,A
afc asian cup,2019,India,A
afc asian cup,2019,Thailand,A
afc asian cup,2019,United Arab Emirates,A
afc asian cup,2019,Australia,B
afc asian cup,2019,Jordan,B
afc asian cup,2019,Palestine,B
afc asian cup,2019,Syria,B
afc asian cup,2019,China PR,C
afc asian cup,2019,Kyrgyzstan,C
afc asian cup,2019,Philippines,C
afc asian cup,2019,South Korea,C
afc asian cup,2019,Iran,D
afc asian cup,2019,Iraq,D
afc asian cup,2019,Vietnam,D
afc asian cup,2019,Yemen,D
afc asian cup,2019,Lebanon,E
afc asian cup,2019,North Korea,E
afc asian cup,2019,Qatar,E
afc asian cup,2019,Saudi Arabia,E
afc asian cup,2019,Japan,F
afc asian cup,2019,Oman,F
afc asian cup,2019,Turkmenistan,F
afc asian cup,2019,Uzbekistan,F
african cup of nations,2019,DR Congo,A
african cup of nations,2019,Egypt,A
african cup of nations,2019,Uganda,A
african cup of nations,2019,Zimbabwe,A
african cup of nations,2019,Burundi,B
african cup of nations,2019,Guinea,B
african cup of nations,2019,Madagascar,B
african cup of nations,2019,Nigeria,B
african cup of nations,2019,Algeria,C
african cup of nations,2019,Kenya,C
african cup of nations,2019,Senegal,C
african cup of nations,2019,Tanzania,C
african cup of nations,2019,Ivory Coast,D
african cup of nations,2019,Morocco,D
african cup of nations,2019,Namibia,D
african cup of nations,2019,South Africa,D
african cup of nations,2019,Angola,E
african cup of nations,2019,Mali,E
african cup of nations,2019,Mauritania,E
african cup of nations,2019,Tunisia,E
african cup of nations,2019,Benin,F
